Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2025-12-01,Transportation,Debit Card,Pretty agent reflect student take option.,322.35,8.66
2025-12-27,Food,NetBanking,Prove cold give PM debate commercial realize.,300.46,2.95
2025-12-01,Groceries,UPI,Wrong push popular upon attack.,50.61,0.0
2025-12-14,Entertainment,UPI,Drug rate capital partner six management.,335.5,10.81
2025-12-03,Food,UPI,Build will common later over population.,482.71,5.27
2025-12-04,Miscellaneous,NetBanking,Rule pay record change question.,98.78,3.15
2025-12-12,Entertainment,NetBanking,Culture case behavior movement loss leg then.,14.87,0.0
2025-12-25,Transportation,Debit Card,Stand wall either me.,50.47,15.58
2025-12-27,Subscriptions,NetBanking,Suffer knowledge knowledge head.,167.85,0.0
2025-12-08,Subscriptions,Credit Card,Peace some reach now not main.,267.34,0.3
2025-12-23,Miscellaneous,Cash,Walk hour behind statement result space.,232.12,0.0
2025-12-10,Subscriptions,Credit Card,Against system job upon focus fall.,208.67,0.0
2025-12-08,Miscellaneous,UPI,Note kid according wish easy.,111.7,16.45
2025-12-05,Bills,Credit Card,Work other Mrs four charge player believe.,295.0,11.12
2025-12-21,Transportation,UPI,Approach discussion better remain night chair time.,123.78,16.98
2025-12-11,Transportation,Cash,Mother start take raise begin.,209.34,13.39
2025-12-21,Transportation,Debit Card,Behavior decision what point line weight.,102.88,0.0
2025-12-02,Groceries,Cash,Whatever through where blue hotel.,450.49,10.19
2025-12-16,Miscellaneous,Credit Card,Sure shoulder husband economy.,337.44,7.18
2025-12-22,Food,Cash,Happen focus which program rest.,126.52,0.0
2025-12-16,Miscellaneous,Cash,Morning part weight seven former.,297.29,0.0
2025-12-17,Miscellaneous,Cash,For film role effect provide respond.,214.29,0.0
2025-12-14,Groceries,Cash,Issue force event coach their away.,62.05,0.0
2025-12-04,Bills,Credit Card,Cut weight dark Mr authority.,66.18,8.71
2025-12-15,Subscriptions,Credit Card,White piece want debate.,140.65,10.75
2025-12-18,Groceries,NetBanking,Require significant state feeling.,343.78,0.0
2025-12-10,Miscellaneous,Credit Card,System exactly although eye say every.,86.2,17.89
2025-12-04,Transportation,Debit Card,Whole point cause get focus individual.,482.28,0.0
2025-12-12,Entertainment,Credit Card,Hair market factor wife start possible.,476.95,4.81
2025-12-23,Entertainment,Debit Card,Article white development.,408.26,0.0
2025-12-22,Entertainment,Credit Card,Still society statement red.,58.01,0.0
2025-12-20,Transportation,Debit Card,Especially staff enough answer world dinner.,388.83,0.0
2025-12-18,Food,Credit Card,Need foreign actually pull safe.,448.25,12.19
2025-12-17,Entertainment,Cash,Simply main activity resource source.,65.5,0.0
2025-12-12,Groceries,Cash,Senior vote sea once cost population.,144.01,0.0
2025-12-18,Miscellaneous,UPI,Feel investment win indicate help.,194.38,8.18
2025-12-06,Food,NetBanking,Option hit money.,456.48,0.0
2025-12-16,Transportation,Cash,Of car record treatment my over.,444.41,0.0
2025-12-12,Food,Cash,Quality investment usually.,135.37,3.8
2025-12-01,Subscriptions,Cash,Economy control character raise.,219.03,7.08
2025-12-04,Entertainment,Cash,Forget realize far.,463.66,0.0
2025-12-12,Groceries,NetBanking,Company strategy cup.,393.85,0.0
2025-12-21,Transportation,Cash,Writer behavior economy hotel morning American.,81.54,0.0
2025-12-03,Entertainment,Debit Card,According real suggest person lawyer.,481.72,18.43
2025-12-23,Transportation,Credit Card,Across day girl each bank.,200.55,5.75
2025-12-08,Subscriptions,Debit Card,Method senior western century environmental figure.,333.29,0.0
2025-12-16,Transportation,Debit Card,Prevent mention range plan.,34.86,2.89
2025-12-03,Transportation,Credit Card,Provide continue visit do find really.,202.1,2.03
2025-12-21,Miscellaneous,UPI,Discuss community north represent.,62.7,0.0
2025-12-11,Transportation,Cash,Adult mission simply.,136.48,0.0
2025-12-11,Miscellaneous,Debit Card,Week why religious her care claim.,226.57,13.51
2025-12-19,Bills,UPI,Meet manager girl.,352.72,0.0
2025-12-06,Transportation,Credit Card,Performance exist pick seem center color.,207.64,0.0
2025-12-26,Miscellaneous,UPI,Reason yet others director near.,197.11,0.0
2025-12-22,Transportation,NetBanking,Form she final behind party on.,179.44,17.84
2025-12-26,Transportation,Debit Card,Citizen together section me.,454.92,1.35
2025-12-23,Food,UPI,Minute fish letter world sense.,367.0,0.0
2025-12-08,Transportation,NetBanking,Develop money receive.,280.01,12.95
2025-12-04,Bills,Credit Card,Decade country site charge week water.,337.7,14.78
2025-12-07,Miscellaneous,UPI,Well but focus.,256.75,4.36
2025-12-01,Entertainment,NetBanking,Think a begin.,29.47,3.27
2025-12-07,Bills,Cash,Water fact save recognize support note I.,24.1,11.72
2025-12-07,Food,Cash,Treat page similar.,31.06,6.04
2025-12-11,Groceries,Debit Card,Talk learn option exactly.,108.93,0.0
